row,RecordID,Publication,Pub,Taxon,Class,Order,Family,Species,SpeciesSynonyms,animal,phylo,Common.name,Genus,Species.name,Body.mass,Log.Mb,Primary.diet,Diet.details,Foraging.guild,Nesting.guild,Volent,n.captured,method.of.capture,Measure,Ecosystem,Tree.species,Cause.of.decline,Decline.cause,Decline.permanence,Decline.scale,Decline.speed,Decline.severity,Location,Temporal.or.Spatial,Temporal.y,Beta,r,t,F,p,chi,Decline.mean1,sd1,se1,95%.CI1,n1,Intact.mean2,sd2,se2,95%.CI2,n2,yi,log_yi,vi,Calcualted_from
155,155,"{Drever, 2007 #32775}","Drever, 2007 ",Vertebrate,Bird,Accipitriformes,Accipitridae,Buteo jamaicensis,Buteo_jamaicensis,Buteo_jamaicensis,Buteo_jamaicensis,"hawk, Red-tailed",Buteo,jamaicensis,,,O,V,AER,TREE,,,,,Mixed conifer/deciduous forest,Quaking aspen (Populus tremuloides); Douglas-fir (Pseudotsuga menziesii),Mountain pine beetle (Dendroctonus ponderosae),Insect,1,1,1,3,"British Columbia, Canada",1,10,,-0.21,-2.22,,,,,,,,,,,,,,-0.4295790167,-0.1552081650,0.0114938352,r
156,156,"{Norris, 2012 #29924}","Norris, 2012 ",Vertebrate,Bird,Passeriformes,Sittidae,Sitta canadensis,Sitta_canadensis,Sitta_canadensis,Sitta_canadensis,"Nuthatch, red-breasted",Sitta,canadensis,,,I,I,BAR,CAV,,2180.25,observation,Abundance,Lodgepole pine forest,Pinus contortus,Mountain pine beetle (Dendroctonus ponderosae),Insect,1,1,1,3,"British Columbia, Canada",1,15,,-0.20733199,,,,,,,,,,,,,,,-0.4238745015,-0.1534717128,0.0008405413,r
157,157,"{Smithies, 2016 #29902}","Smithies, 2016 ",Vertebrate,Bird,Passeriformes,Petroicidae,Eopsaltria griseogularis,Eopsaltria_griseogularis,Eopsaltria_griseogularis,Eopsaltria_griseogularis,"Robin, Western Yellow ",Eopsaltria,griseogularis,,,I,I,AER,TREE,,28,Observation,,Jarrah forest,Eucalyptus marginata,Drought,Abiotic,0,0,1,1,sw Western Australia,0,,,,,,,,0.05,0.28,,,5,0.39,0.99,,,5,-0.4218844614,-0.1528643082,0.4088993249,x and SD
158,158,"{Postle, 1986 #32056}","Postle, 1986 ",Arthropod,Insecta,Dermaptera,Dermaptera,,Dermaptera,Dermaptera,Dermaptera,Earwigs,Earwigs,Earwigs,,,I,I,GRO,,,50.62071898,Litter/soil sampling,Abundance,Jarrah forest,Eucalyptus marginata,Phytophthora cinnamomi,Pathogen,1,0,0,1,sw Western Australia,0,,,,,,,,0.055555556,0.166666667,,,9,0.222222222,0.506896878,,,9,-0.4206353746,-0.1524826247,0.2271370588,x and SD
159,159,"{Martel, 1991 #781}","Martel, 1991 ",Arthropod,Insecta,Coleoptera,Carabidae,,Coleoptera,Coleoptera,Coleoptera,Carabidae (without Pterostichus coracinus),Carabidae (without Pterostichus coracinus),Carabidae (without Pterostichus coracinus),,,I,I,GRO,,,489.6,,Abundance,Sugar maple forest,Acer saccharum,Multiple causes,Abiotic,0,0.5,0,0.5,"Quebec, Canada",0,,,-0.2055,,,,,,,,,,,,,,,-0.4199632266,-0.1522770974,0.0037549100,r
160,160,"{Moore, 2014 #370}","Moore, 2014 ",Vertebrate,Mammal,Dasyuromorphia,Myrmecobiidae,Myrmecobius fasciatus,Myrmecobius_fasciatus,Myrmecobius_fasciatus,Myrmecobius_fasciatus,Numbat,Myrmecobius ,fasciatus,500,0.43,I,I,GRO,GRO,N,17,Index,Scats counts,Wandoo woodlands,Eucalyptus wandoo,Multiple causes,Abiotic,0,0,1,1,sw Western Australia,0,,,,,,,,0.3,0.674948558,,,10,1,2.038098661,,,14,-0.4158640680,-0.1510215603,0.1750315490,x and SD
161,161,"{Kendeigh, 1982 #832}","Kendeigh, 1982 ",Vertebrate,Bird,Passeriformes,Troglodytidae,Troglodytes aedon,Troglodytes_aedon,Troglodytes_aedon,Troglodytes_aedon,"Wren, House ",Troglodytes,aedon,,,I,I,LOW,CAV,,645,Observation over 50 years,Breeding pairs,Dutch Elm,Ulmus americana,Dutch Elm Disease (Ophiostoma ulmi+),Pathogen,0.5,1,1,2.5,"Illinois, USA",1,49,,,,,,,15.75,7.5321533,,,16,21.83333333,18.28934116,,,18,-0.4155419195,-0.1509227350,0.1205948951,x and SD
162,162,"{Tingley, 2002 #795}","Tingley, 2002 ",Vertebrate,Bird,Passeriformes,Parulidae,Seiurus aurocapilla ,Seiurus_aurocapilla,Seiurus_aurocapilla,Seiurus_aurocapilla,Ovenbird,Seiurus,aurocapillus,,,I,I,GRO,GRO,,28,Observation,,Eastern hemlock,Tsuga canadensis,Hemlock woolly adelgid (Adelges tsugae) ,Insect,1,1,1,3,"Connecticut, USA",0,,,-,,,,1.150285714,10,,,,1,18,,,,1,-0.4125684985,-0.1500095169,2.0425531915,chi
163,163,"{Smithies, 2016 #29902}","Smithies, 2016 ",Vertebrate,Bird,Psittaciformes,Cacatuidae,Calyptorhynchus banksii,Calyptorhynchus_banksii,Calyptorhynchus_banksii,Calyptorhynchus_banksii,"Black Cocaktoo, Red-tailed ",Calyptorhynchus,banksii,,,S,S,CAN,CAV,,219,Observation,,Jarrah forest,Eucalyptus marginata,Drought,Abiotic,0,0,1,1,sw Western Australia,0,,,,,,,,0.99,2.45,,,5,2.35,3.45,,,5,-0.4103097054,-0.1493144946,0.4084177027,x and SD
164,164,"{Nichols, 1984 #29888}","Nichols, 1984 ",Vertebrate,Bird,Passeriformes,Neosittidae,Daphoenositta chrysoptera,Daphoenositta_chrysoptera,Daphoenositta_chrysoptera,Daphoenositta_chrysoptera,Varied Sittella ,Daphoenositta,chrysoptera,16,0.08,I,I,BAR,TREE,,14,,Densities (in Birds per Hectare),Jarrah forest,Eucalyptus marginata,Phytophthora cinnamomi,Pathogen,1,0,0,1,sw Western Australia,0,,,,,,,0.571428571,5,,,,2,9,,,,2,-0.4100000000,-0.1492191127,0.0000000010,chi
165,165,"{Simmons, 2011 #29913}","Simmons, 2011 ",Vertebrate,Reptile,Squamata,Agamidae,Pogona_minor,Pogona_minor,Pogona_minor,Pogona_minor,Western Bearded Dragon,Pogona,minor,,,I,I,GRO,,,11,Trapping,,Banksia woodland,Banksia spp.,Phytophthora cinnamomi,Pathogen,1,0.5,1,2.5,sw Western Australia,0,,,,,,,,0.8,0.836660027,,,5,1.4,1.673320053,,,5,-0.4094277477,-0.1490428173,0.4083815540,x and SD
166,166,"{Rabenold, 1998 #810}","Rabenold, 1998 ",Vertebrate,Bird,Passeriformes,Regulidae,Regulus satrapa,Regulus_satrapa,Regulus_satrapa,Regulus_satrapa,Golden-crowned Kinglet,Regulus,satrapa,,,I,I,CAN,TREE,,39,Number of male territories,,Fraser fir,Abies fraseri,Balsam woolly adelgid (Adelges piceae),Insect,1,1,1,3,"n Carolina-Tennessee border, USA",1,21,,,,,,1.551282051,14,,,,1,25,,,,1,-0.4070585698,-0.1483121756,2.0414241698,chi
167,167,"{Martel, 1997 #519}","Martel, 1997 ",Arthropod,Insecta,Lepidoptera,Lepidoptera,,Lepidoptera,Lepidoptera,Lepidoptera,Moth/butterfly larvae - leaf-mining,Lepidoptera,Lepidoptera,,,L,P,CAN,,,13169.33333,Sampling multiple seasons over 3 years,Abundance,Sugar maple forest,Acer saccharum,Multiple causes,Abiotic,0,0.5,0,0.5,"Quebec, Canada",0,,,,,,,,0.441111111,0.650027777,,,9,0.85,1.234078604,,,9,-0.3947834791,-0.1445067946,0.2265514999,x and SD
168,168,"{Campeotto, 1987 #29886}","Campeotto, 1987 ",Vertebrate,Bird,Passeriformes,Pardalotidae,Pardalotus striatus,Pardalotus_striatus,Pardalotus_striatus,Pardalotus_striatus,"Pardalote, Striated ",Pardalotus,striatus,,,I,I,CAN,CAV,,22,,Densities (in Birds per Hectare),Jarrah forest,Eucalyptus marginata,Phytophthora cinnamomi,Pathogen,1,0,0,1,sw Western Australia,0,,,,,,,0.818181818,8,,,,2,14,,,,2,-0.3900000000,-0.1430148003,0.0000000010,chi
169,169,"{Buchanan, 2016 #32059}","Buchanan, 2016 ",Vertebrate,Bird,Passeriformes,Turdidae,Hylocichla mustelina,Hylocichla_mustelina,Hylocichla_mustelina,Hylocichla_mustelina,Wood thrush,Hylocichla,mustelina,,,I,I,GRO,TREE,,59,,Abundance,Eastern hemlock,Tsuga canadensis,Hemlock woolly adelgid (Adelges tsugae) ,Insect,1,1,1,3,"Connecticut, USA",1,59,-0.06,-0.19,,,,,,,,,,,,,,,-0.3870504765,-0.1420922659,0.0320421531,r
170,170,"{Drever, 2007 #32775}","Drever, 2007 ",Vertebrate,Bird,Piciformes,Picidae,Sphyrapicus nuchalis,Sphyrapicus_nuchalis,Sphyrapicus_nuchalis,Sphyrapicus_nuchalis,"Sapsucker, Red-naped",Sphyrapicus,nuchalis,,,O,"red-naped sapsuckers are omnivores, feeding on tree sap, aspen buds, and bark",BAR,CAV,,,,,Mixed conifer/deciduous forest,Quaking aspen (Populus tremuloides); Douglas-fir (Pseudotsuga menziesii),Mountain pine beetle (Dendroctonus ponderosae),Insect,1,1,1,3,"British Columbia, Canada",1,10,,-0.19,-5.98,,,,,,,,,,,,,,-0.3870504765,-0.1420922659,0.0116870324,r
171,171,"{Simmons, 2011 #29913}","Simmons, 2011 ",Vertebrate,Reptile,Squamata,Scincidae,Lerista_elegans,Lerista_elegans,Lerista_elegans,Lerista_elegans,,Lerista,elegans,,,I,I,GRO,,,19,Trapping,,Banksia woodland,Banksia spp.,Phytophthora cinnamomi,Pathogen,1,0.5,1,2.5,sw Western Australia,0,,,,,,,,1.6,1.140175425,,,5,2.2,1.643167673,,,5,-0.3829845891,-0.1408173407,0.4073338598,x and SD
172,172,"{Rabenold, 1998 #810}","Rabenold, 1998 ",Vertebrate,Bird,Passeriformes,Parulidae,Setophaga virens,Dendroica_virens,Dendroica_virens,Dendroica_virens,"Warbler, Black-throated green",Setophaga,virens,,,I,I,CAN,TREE,,9.5,Number of male territories,,Fraser fir,Abies fraseri,Balsam woolly adelgid (Adelges piceae),Insect,1,1,1,3,"n Carolina-Tennessee border, USA",1,21,,,,,,0.328947368,3.5,,,,1,6,,,,1,-0.3787770095,-0.1394940331,2.0358680057,chi
173,173,"{Smithies, 2016 #29902}","Smithies, 2016 ",Vertebrate,Bird,Psittaciformes,Psittaculidae,Purpureicephalus spurius,Purpureicephalus_spurius,Purpureicephalus_spurius,Purpureicephalus_spurius,"Parrot, Red-capped ",Purpureicephalus,spurius,,,S,S,CAN,CAV,,76,Observation,,Jarrah forest,Eucalyptus marginata,Drought,Abiotic,0,0,1,1,sw Western Australia,0,,,,,,,,0.32,0.76,,,5,0.85,1.64,,,5,-0.3743243279,-0.1380892343,0.4070059351,x and SD
174,174,"{Roberts, 2019 #30945}","Roberts, 2018",Vertebrate,Bird,Passeriformes,Turdidae,Turdus migratorius,Turdus_migratorius,Turdus_migratorius,Turdus_migratorius,"Robin, American ",Turdus,migratorius,,,I,IF,GRO,LOW,,,,,Mixed conifer forest,Ponderosa pine (Pinus ponderosa) predominantly,Drought followed by bark beetles Dendroctonus spp.,Abiotic,1,0.5,1,2.5,"California, USA",1,7,,,,,,,,,,,,,,,,,-0.3739687164,-0.1379768445,0.7149618662,off graph
175,175,"{Smithies, 2016 #29902}","Smithies, 2016 ",Vertebrate,Bird,Passeriformes,Petroicidae,Petroica boodang,Petroica_multicolor,Petroica_multicolor,Petroica_multicolor,"Robin, Scarlet ",Petroica,boodang,,,I,I,AER,TREE,,44,Observation,,Jarrah forest,Eucalyptus marginata,Drought,Abiotic,0,0,1,1,sw Western Australia,0,,,,,,,,0.15,0.57,,,5,0.52,1.15,,,5,-0.3680122179,-0.1360899761,0.4067716496,x and SD
176,176,"{Bell, 1997 #7584}","Bell, 1997 ",Vertebrate,Bird,Passeriformes,Tyrannidae,Empidonax virescens,Empidonax_virescens,Empidonax_virescens,Empidonax_virescens,"Flycatcher, Acadian ",Empidonax,virescens,,,I,I,AER,TREE,,2744,observation,density estimates,Oak/maple forest,Quercus spp.,Gypsy moth (Lymantria dispar),Insect,0,1,1,2,"West Virginia, USA",1,9,,,,,,,29.3,33.06,5.51,,36,43.3,41.84148659,6.7,,39,-0.3657174688,-0.1353608645,0.0543104652,x and SD
177,177,"{Roberts, 2019 #30945}","Roberts, 2018",Vertebrate,Bird,Passeriformes,Fringillidae,Haemorhous purpureus,Carpodacus_purpureus,Carpodacus_purpureus,Carpodacus_purpureus,"Finch, purple",Haemorhous,purpureus,,,S,,CAN,TREE,,,,,Mixed conifer forest,Ponderosa pine (Pinus ponderosa) predominantly,Drought followed by bark beetles Dendroctonus spp.,Abiotic,1,0.5,1,2.5,"California, USA",1,7,,,,,,,,,,,,,,,,,-0.3645734433,-0.1349969150,0.6423079212,off graph
178,178,"{Kendeigh, 1982 #832}","Kendeigh, 1982 ",Vertebrate,Bird,Piciformes,Picidae,Dryobates pubescens,Picoides_pubescens,Picoides_pubescens,Picoides_pubescens,"Woodpecker, Downy ",Dryobates,pubescens,,,I,I,BAR,CAV,,129,Observation over 50 years,Breeding pairs,Dutch Elm,Ulmus americana,Dutch Elm Disease (Ophiostoma ulmi+),Pathogen,0.5,1,1,2.5,"Illinois, USA",1,49,,,,,,,3.5,1.549193338,,,16,4.055555556,1.433720878,,,18,-0.3642901075,-0.1349067301,0.1200071332,x and SD
179,179,"{Canterbury, 1997 #836}","Canterbury, 1997 ",Vertebrate,Bird,Passeriformes,Parulidae,Mniotilta varia,Mniotilta_varia,Mniotilta_varia,Mniotilta_varia,"Warbler, Black and White",Mniotilta,varia,,,I,I,BAR,GRO,,25,Observation,Territories (number per 10ha),Dutch Elm,Ulmus americana,Dutch Elm Disease (Ophiostoma ulmi+),Pathogen,0.5,1,1,2.5,"Minnesota, USA",1,11,,,,,,,1.4,1.4,,,3,1.866666667,0.404145188,,,3,-0.3613705459,-0.1339763501,0.6775490560,x and SD
180,180,"{Alsop, 1991 #1048}","Alsop, 1991 ",Vertebrate,Bird,Passeriformes,Vireonidae,Vireo solitarius,Vireo_solitarius,Vireo_solitarius,Vireo_solitarius,"Vireo, Blue-headed",Vireo,solitarius,,,I,I,CAN,TREE,,24,Observation,,Fraser fir,Abies fraseri,Balsam woolly adelgid (Adelges piceae),Insect,1,1,1,3,"Tennessee, USA",1,18,,,,,0.386476231,0.75,9,,,,1,15,,,,1,-0.3592106041,-0.1332867541,2.0322580645,chi
181,181,"{DeGraaf, 1987 #32058}","DeGraaf, 1987 ",Vertebrate,Bird,Passeriformes,Cardinalidae,Piranga olivacea,Piranga_olivacea,Piranga_olivacea,Piranga_olivacea,"Tanager, Scarlet ",Piranga,olivacea,,,S,SI,CAN,TREE,,40,,Counts,Oak/maple forest,Quercus spp.,Gypsy moth (Lymantria dispar),Insect,0,1,1,2,"Pennsylvania, USA",0,,,,,,,0.225,8.5,2.121320344,,,2,11.5,6.363961031,,,2,-0.3568248232,-0.1325237804,1.0159154943,x and SD
182,182,"{DeGraaf, 1987 #32058}","DeGraaf, 1987 ",Vertebrate,Bird,Cuculiformes,Cuculidae,Coccyzus americanus,Coccyzus_americanus,Coccyzus_americanus,Coccyzus_americanus,"Cuckoo, Yellow-billed",Coccyzus,americanus,,,I,I,CAN,TREE,,12,,Counts,Oak/maple forest,Quercus spp.,Gypsy moth (Lymantria dispar),Insect,0,1,1,2,"Pennsylvania, USA",0,,,,,,,0.083333333,2.5,0.707106781,,,2,3.5,2.121320344,,,2,-0.3568248232,-0.1325237804,1.0159154943,x and SD
183,183,"{Norris, 2012 #29924}","Norris, 2012 ",Vertebrate,Bird,Piciformes,Picidae,Sphyrapicus nuchalis,Sphyrapicus_nuchalis,Sphyrapicus_nuchalis,Sphyrapicus_nuchalis,"Sapsucker, Red-naped",Sphyrapicus,nuchalis,,,O,"red-naped sapsuckers are omnivores, feeding on tree sap, aspen buds, and bark",BAR,CAV,,1000,observation,Abundance,Lodgepole pine forest,Pinus contortus,Mountain pine beetle (Dendroctonus ponderosae),Insect,1,1,1,3,"British Columbia, Canada",1,15,,-0.17425763,,,,,,,,,,,,,,,-0.3539303607,-0.1315963270,0.0018822644,r
184,184,"{Ingwell, 2012 #32782}","Ingwell, 2012 ",Arthropod,Insecta,Diptera,Diptera,,Diptera,Diptera,Diptera,Flies,Flies,Flies,,,D,,GRO,,,617,,,Eastern hemlock,Tsuga canadensis,Hemlock woolly adelgid (Adelges tsugae) ,Insect,1,1,1,3,Southern New England,0,,,,,,,18.47730956,233,,,,4,384,,,,4,-0.3514059036,-0.1307858118,0.0000000010,chi
185,185,"{Norris, 2012 #29924}","Norris, 2012 ",Vertebrate,Mammal,Rodentia,Sciuridae,Tamiasciurus hudsonicus,Tamiasciurus_hudsonicus,Tamiasciurus_hudsonicus,Tamiasciurus_hudsonicus,American red squirrel,Tamiasciurus,hudsonicus,200,0.36,S,S,CAN,TREE,N,1000,Index,observation,Lodgepole pine forest,Pinus contortus,Mountain pine beetle (Dendroctonus ponderosae),Insect,1,1,1,3,"British Columbia, Canada",1,15,,-0.17099327,,,,,,,,,,,,,,,-0.3470985390,-0.1293993651,0.0018866425,r
186,186,"{Rabenold, 1998 #810}","Rabenold, 1998 ",Vertebrate,Bird,Passeriformes,Turdidae,Catharus fuscescens,Catharus_fuscescens,Catharus_fuscescens,Catharus_fuscescens,Veery,Catharus,fuscescens,,,I,I,GRO,LOW,,13,Number of male territories,,Fraser fir,Abies fraseri,Balsam woolly adelgid (Adelges piceae),Insect,1,1,1,3,"n Carolina-Tennessee border, USA",1,21,,,,,,0.346153846,5,,,,1,8,,,,1,-0.3307907079,-0.1241097598,2.0273556231,chi
187,187,"{Nichols, 1984 #29888}","Nichols, 1984 ",Vertebrate,Bird,Passeriformes,Acanthizidae,Acanthiza inornata,Acanthiza_inornata,Acanthiza_inornata,Acanthiza_inornata,"Thornbill, Western ",Acanthiza,inornata,,,I,I,LOW,TREE,,26,,Densities (in Birds per Hectare),Jarrah forest,Eucalyptus marginata,Phytophthora cinnamomi,Pathogen,1,0,0,1,sw Western Australia,0,,,,,,,0.692307692,10,,,,2,16,,,,2,-0.3300000000,-0.1238516410,0.0000000010,chi
188,188,"{Campeotto, 1987 #29886}","Campeotto, 1987 ",Vertebrate,Bird,Passeriformes,Petroicidae,Eopsaltria georgiana,Eopsaltria_georgiana,Eopsaltria_georgiana,Eopsaltria_georgiana,"Robin, White-Breasted ",Eopsaltria,georgiana,,,I,I,AER,LOW,,13,,Densities (in Birds per Hectare),Jarrah forest,Eucalyptus marginata,Phytophthora cinnamomi,Pathogen,1,0,0,1,sw Western Australia,0,,,,,,,0.346153846,5,,,,2,8,,,,2,-0.3300000000,-0.1238516410,0.0000000010,chi
189,189,"{Lance, 2000 #1165}","Lance, 2000 ",Vertebrate,Bird,Passeriformes,Parulidae,Dendroica townsendi,Dendroica_townsendi,Dendroica_townsendi,Dendroica_townsendi,"warbler, Townsend's  ",Dendroica,townsendi,,,I,I,CAN,TREE,,20,,,White and lutz spruce,Picea glauca/P.lutzii,Spruce beetle (Dendroctonus rufipennis),Insect,1,1,1,3,"Alaska, USA",0,,,,,,,0.514541545,8,,,,1,12,,,,1,-0.3261874129,-0.1226049016,2.0265995571,chi
190,190,"{Tingley, 2002 #795}","Tingley, 2002 ",Vertebrate,Bird,Passeriformes,Corvidae,Cyanocitta cristata,Cyanocitta_cristata,Cyanocitta_cristata,Cyanocitta_cristata,"Jay, Blue",Cyanocitta,cristata,,,S,S,GRO,TREE,,25,Observation,,Eastern hemlock,Tsuga canadensis,Hemlock woolly adelgid (Adelges tsugae) ,Insect,1,1,1,3,"Connecticut, USA",0,,,,,,,0.646396667,10,,,,1,15,,,,1,-0.3247534909,-0.1221350726,2.0263662075,chi
191,191,"{Darveau, 1997 #634}","Darveau, 1997 ",Vertebrate,Bird,Passeriformes,Parulidae,Setophaga virens,Dendroica_virens,Dendroica_virens,Dendroica_virens,"Warbler, Black-throated green",Setophaga,virens,,,I,I,CAN,TREE,,28.8,,,Sugar maple forest,Acer saccharum,Multiple causes,Abiotic,0,0.5,0,0.5,"Quebec, Canada",0,,,-0.16,,,0.25,,,,,,,,,,,,-0.3241763594,-0.1219458301,0.0683460131,r
192,192,"{Drever, 2007 #32775}","Drever, 2007 ",Vertebrate,Bird,Passeriformes,Corvidae,Corvus corax,Corvus_corax,Corvus_corax,Corvus_corax,Common Raven,Corvus,corax,,,O,O,GRO,TREE,,,,,Mixed conifer/deciduous forest,Quaking aspen (Populus tremuloides); Douglas-fir (Pseudotsuga menziesii),Mountain pine beetle (Dendroctonus ponderosae),Insect,1,1,1,3,"British Columbia, Canada",1,10,,-0.16,-4.45,,,,,,,,,,,,,,-0.3241763594,-0.1219458301,0.0119430477,r
193,193,"{Drever, 2007 #32775}","Drever, 2007 ",Vertebrate,Bird,Passeriformes,Troglodytidae,Troglodytes hiemalis,Troglodytes_troglodytes,Troglodytes_troglodytes,Troglodytes_troglodytes,"Wren, Winter ",Troglodytes,hiemalis,,,I,I,LOW,LOW,,,,,Mixed conifer/deciduous forest,Quaking aspen (Populus tremuloides); Douglas-fir (Pseudotsuga menziesii),Mountain pine beetle (Dendroctonus ponderosae),Insect,1,1,1,3,"British Columbia, Canada",1,10,,-0.16,-1.2,,,,,,,,,,,,,,-0.3241763594,-0.1219458301,0.0119430477,r
194,194,"{Kreplins, unpublished #29887}","Kreplins, Unpub. ",Vertebrate,Bird,Passeriformes,Rhipiduridae,Rhipidura fuliginosa,Rhipidura_fuliginosa,Rhipidura_fuliginosa,Rhipidura_fuliginosa,"Fantail, Grey",Rhipidura,albiscapa,8.2,-0.04,I,I,AER,TREE,,10,Number of sites present,,Wandoo woodlands,Eucalyptus wandoo,Multiple causes,Abiotic,0,0,1,1,sw Western Australia,0,,,,,,,,0.333333333,0.492365964,,,12,0.5,0.522232968,,,12,-0.3170489657,-0.1196019216,0.1687608343,x and SD
195,195,"{Vindstad, 2015 #29916}","Vindstad, 2015 ",Vertebrate,Bird,Passeriformes,Turdidae,Turdus pilaris,Turdus_pilaris,Turdus_pilaris,Turdus_pilaris,Fieldfare,Turdus,pilaris,,,O,O,GRO,TREE,,10,,predicted abundances provided by the Bayesian model ,Mountain Birch,Betula pubescens czerepanovii,Geometrid moth (Lepidoptera: Geometridae),Insect,0,0.5,1,1.5,northern Norway,0,,,,,,,,0.48,0.59,,,4,0.71,0.7,,,6,-0.3141505191,-0.1186451109,0.4216011941,x and SD
196,196,"{Campeotto, 1987 #29886}","Campeotto, 1987 ",Vertebrate,Bird,Passeriformes,Rhipiduridae,Rhipidura fuliginosa,Rhipidura_fuliginosa,Rhipidura_fuliginosa,Rhipidura_fuliginosa,"Fantail, Grey",Rhipidura,albiscapa,5.2,-0.15,I,I,AER,TREE,,23,,Densities (in Birds per Hectare),Jarrah forest,Eucalyptus marginata,Phytophthora cinnamomi,Pathogen,1,0,0,1,sw Western Australia,0,,,,,,,0.543478261,9,,,,2,14,,,,2,-0.3100000000,-0.1172712957,0.0000000010,chi
197,197,"{Simmons, 2011 #29913}","Simmons, 2011 ",Vertebrate,Reptile,Squamata,Scincidae,Ctenotus_fallens,Ctenotus_fallens,Ctenotus_fallens,Ctenotus_fallens,,Ctenotus,fallens,,,I,I,GRO,,,12,Trapping,,Banksia woodland,Banksia spp.,Phytophthora cinnamomi,Pathogen,1,0.5,1,2.5,sw Western Australia,0,,,,,,,,1,1,,,5,1.4,1.341640786,,,5,-0.3051694254,-0.1156668915,0.4046564189,x and SD
198,198,"{Drever, 2007 #32775}","Drever, 2007 ",Vertebrate,Bird,Galliformes,Phasianidae,Bonasa umbellus,Bonasa_umbellus,Bonasa_umbellus,Bonasa_umbellus,"grouse, rufted",Bonasa,umbellus,,,O,,LOW,GRO,,,,,Mixed conifer/deciduous forest,Quaking aspen (Populus tremuloides); Douglas-fir (Pseudotsuga menziesii),Mountain pine beetle (Dendroctonus ponderosae),Insect,1,1,1,3,"British Columbia, Canada",1,10,,-0.15,-3.81,,,,,,,,,,,,,,-0.3034330425,-0.1150887263,0.0120191636,r
199,199,"{Martel, 1991 #781}","Martel, 1991 ",Arthropod,Insecta,Coleoptera,Carabidae,,Coleoptera,Coleoptera,Coleoptera,Rare species (< 5%),Rare species (< 5%),Rare species (< 5%),,,I,I,GRO,,,40.8,,Abundance,Sugar maple forest,Acer saccharum,Multiple causes,Abiotic,0,0.5,0,0.5,"Quebec, Canada",0,,,-0.148833333,,,,,,,,,,,,,,,-0.3010193304,-0.1142837493,0.0480635192,r
200,200,"{Smithies, 2016 #29902}","Smithies, 2016 ",Vertebrate,Bird,Passeriformes,Petroicidae,Melanodryas cucullata,Melanodryas_cucullata,Melanodryas_cucullata,Melanodryas_cucullata,"Robin, Hooded",Melanodryas,cucullata,,,I,I,AER,LOW,,12,Observation,,Jarrah forest,Eucalyptus marginata,Drought,Abiotic,0,0,1,1,sw Western Australia,0,,,,,,,,0,0,,,5,0.19,0.81,,,5,-0.2994529710,-0.1137605664,0.4044836041,x and SD
201,201,"{Smithies, 2016 #29902}","Smithies, 2016 ",Vertebrate,Bird,Passeriformes,Meliphagidae,Lichmera indistincta,Lichmera_indistincta,Lichmera_indistincta,Lichmera_indistincta,"Honeyeater, Brown ",Lichmera,indistincta,,,N,N,CAN,LOW,,21,Observation,,Jarrah forest,Eucalyptus marginata,Drought,Abiotic,0,0,1,1,sw Western Australia,0,,,,,,,,0.06,0.3,,,5,0.26,0.8,,,5,-0.2988330378,-0.1135533271,0.4044650592,x and SD
202,202,"{Smithies, 2016 #29902}","Smithies, 2016 ",Vertebrate,Bird,Psittaciformes,Psittaculidae,Platycercus icterotis,Platycercus_icterotis,Platycercus_icterotis,Platycercus_icterotis,Western Rosella ,Platycercus,icterotis,,,S,S,GRO,CAV,,12,Observation,,Jarrah forest,Eucalyptus marginata,Drought,Abiotic,0,0,1,1,sw Western Australia,0,,,,,,,,0.02,0.13,,,5,0.15,0.54,,,5,-0.2987967107,-0.1135411801,0.4044639737,x and SD
203,203,"{Tingley, 2002 #795}","Tingley, 2002 ",Vertebrate,Bird,Passeriformes,Turdidae,Hylocichla mustelina,Hylocichla_mustelina,Hylocichla_mustelina,Hylocichla_mustelina,Wood thrush,Hylocichla,mustelina,,,I,I,GRO,TREE,,12,Observation,,Eastern hemlock,Tsuga canadensis,Hemlock woolly adelgid (Adelges tsugae) ,Insect,1,1,1,3,"Connecticut, USA",0,,,,,,,0.23485,5,,,,1,7,,,,1,-0.2857142857,-0.1091444694,2.0204081633,chi
204,204,"{Drever, 2007 #32775}","Drever, 2007 ",Vertebrate,Bird,Passeriformes,Turdidae,Myadestes townsendi,Myadestes_townsendi,Myadestes_townsendi,Myadestes_townsendi,"solitaire, Townsend’s",Myadestes,townsendi,,,I,,AER,GRO,,,,,Mixed conifer/deciduous forest,Quaking aspen (Populus tremuloides); Douglas-fir (Pseudotsuga menziesii),Mountain pine beetle (Dendroctonus ponderosae),Insect,1,1,1,3,"British Columbia, Canada",1,10,,-0.14,-3.34,,,,,,,,,,,,,,-0.2827850071,-0.1081538754,0.0120905877,r
205,205,"{Drever, 2007 #32775}","Drever, 2007 ",Vertebrate,Bird,Passeriformes,Corvidae,Corvus brachyrhynchos,Corvus_brachyrhynchos,Corvus_brachyrhynchos,Corvus_brachyrhynchos,"Crow, American",Corvus,brachyrhynchos,,,O,O,GRO,TREE,,,,,Mixed conifer/deciduous forest,Quaking aspen (Populus tremuloides); Douglas-fir (Pseudotsuga menziesii),Mountain pine beetle (Dendroctonus ponderosae),Insect,1,1,1,3,"British Columbia, Canada",1,10,,-0.14,-1.51,,,,,,,,,,,,,,-0.2827850071,-0.1081538754,0.0120905877,r
